SI,Date,Plant Day Gen (KWh),Inverter Day Gen (KWh),Diff (Plant-Inverter) Day Gen (KWh),Total Gen (KWh),Controlled PR (%),Uncontrolled PR (%)
528,12/06/2023,3867.06,3930,-62.94,2218757.41,0,0
529,13/06/2023,3911.41,3977,-65.59,2222668.81,0,0
530,14/06/2023,3771.31,3834,-62.69,2226440.13,0,0
531,15/06/2023,3638.91,3699,-60.09,2230079.03,0,0
532,16/06/2023,4011.44,4082,-70.56,2234090.47,0,0
533,17/06/2023,3443.78,3500,-56.22,2237534.25,0,0
534,18/06/2023,1843.47,1870,-26.53,2239377.72,0,0
535,19/06/2023,1718.38,1747,-28.63,2241096.09,0,0
536,20/06/2023,1492.5,1518,-25.5,2242588.59,0,0
537,21/06/2023,2223.53,2260,-36.47,2244812.13,0,0
538,22/06/2023,3533.75,3592,-58.25,2248345.88,0,0
539,23/06/2023,3147.81,3197,-49.19,2251493.69,0,0
540,24/06/2023,2618.13,2659,-40.88,2254111.81,0,0
541,25/06/2023,1081.28,1096,-14.72,2255193.09,0,0
542,26/06/2023,3004.72,3051,-46.28,2258197.81,0,0
543,27/06/2023,2971.34,3020,-48.66,2261169.16,0,0
544,28/06/2023,3536.13,3589,-52.88,2264705.28,0,0
545,29/06/2023,2759.34,2804,-44.66,2267464.63,0,0
546,30/06/2023,3567.69,3627,-59.31,2271032.31,0,0
547,01/07/2023,3570.38,3624,-53.63,2274602.69,0,0
548,02/07/2023,1596.13,1623,-26.88,2276198.81,0,0
549,03/07/2023,3001.06,3051,-49.94,2279199.88,0,0
550,04/07/2023,2427.06,2463,-35.94,2281626.94,0,0
551,05/07/2023,2300.78,2333,-32.22,2283927.72,0,0
552,06/07/2023,2273.81,2307,-33.19,2286201.53,0,0
553,07/07/2023,2325.13,2361,-35.88,2288526.66,0,0
554,08/07/2023,2345.53,2377,-31.47,2290872.19,0,0
555,09/07/2023,1956.97,1988,-31.03,2292829.16,0,0
556,10/07/2023,2807.84,2851,-43.16,2295637,0,0
557,11/07/2023,1819.31,1847,-27.69,2297456.31,0,0
558,12/07/2023,3525.47,3582,-56.53,2300981.78,0,0
559,13/07/2023,3032.88,3079,-46.13,2304014.66,0,0
560,14/07/2023,2950,2996,-46,2306964.66,0,0
561,15/07/2023,3412.19,3466,-53.81,2310376.84,0,0
562,16/07/2023,1076.81,1093,-16.19,2311453.66,0,0
563,17/07/2023,3112.5,3159,-46.5,2314566.16,0,0
564,18/07/2023,3464.47,3522,-57.53,2318030.63,0,0
565,19/07/2023,2419.5,2456,-36.5,2320450.13,0,0
566,20/07/2023,3219.44,3270,-50.56,2323669.56,0,0
567,21/07/2023,2708.91,2749,-40.09,2326378.47,0,0
568,22/07/2023,2321.22,2355,-33.78,2328699.69,0,0
569,23/07/2023,1578.13,1599,-20.88,2330277.81,0,0
570,24/07/2023,1780.03,1806,-25.97,2332057.84,0,0
571,25/07/2023,1488.69,1511,-22.31,2333546.53,0,0
572,26/07/2023,1315.5,1337,-21.5,2334862.03,0,0
573,27/07/2023,2935.63,2979,-43.38,2337797.66,0,0
574,28/07/2023,2718,2755,-37,2340515.66,0,0
575,29/07/2023,2839.41,2881,-41.59,2343355.06,0,0
576,30/07/2023,1859.97,1887,-27.03,2345215.03,0,0
577,31/07/2023,3669.53,3727,-57.47,2348884.56,0,0
578,01/08/2023,3257.72,3305,-47.28,2352142.28,0,0
579,02/08/2023,3150.28,3195,-44.72,2355292.56,0,0
580,03/08/2023,3416.06,3465,-48.94,2358708.63,0,0
581,04/08/2023,3275.84,3327,-51.16,2361984.47,0,0
582,05/08/2023,3166.72,3216,-49.28,2365151.19,0,0
583,06/08/2023,930.13,944,-13.88,2366081.31,0,0
584,07/08/2023,3334.91,3387,-52.09,2369416.22,0,0
585,08/08/2023,3049.47,3094,-44.53,2372465.69,0,0
586,09/08/2023,3519.31,3580,-60.69,2375985,0,0
587,10/08/2023,3517.03,3578,-60.97,2379502.03,0,0
588,11/08/2023,2788.63,2836,-47.38,2382290.66,0,0
589,12/08/2023,2063.56,2099,-35.44,2384354.22,0,0
590,13/08/2023,2271.31,2303,-31.69,2386625.53,0,0
591,14/08/2023,3510,3566,-56,2390135.53,0,0
592,15/08/2023,430.69,439,-8.31,2390566.22,0,0
593,16/08/2023,3731.56,3792.14,-60.58,2394297.78,0,0
594,17/08/2023,3601,3661.14,-60.14,2397898.78,0,0
595,18/08/2023,2804.78,2843.14,-38.35,2400703.56,0,0
596,19/08/2023,2544.31,2578.59,-34.28,2403247.88,0,0
597,20/08/2023,1666.72,1691,-24.28,2404914.59,0,0
598,21/08/2023,3727.19,3793,-65.81,2408641.78,0,0
599,22/08/2023,2913.47,2963,-49.53,2411555.25,0,0
600,23/08/2023,3288.13,3344,-55.88,2414843.38,0,0
601,24/08/2023,3436.69,3495,-58.31,2418280.06,0,0
602,25/08/2023,3684.94,3748,-63.06,2421965,0,0
603,26/08/2023,3202.41,3257,-54.59,2425167.41,0,0
604,27/08/2023,693.34,703,-9.66,2425860.75,0,0
605,28/08/2023,3657.66,3721,-63.34,2429518.41,0,0
606,29/08/2023,2846.59,2895,-48.41,2432365,0,0
607,30/08/2023,3207.75,3263,-55.25,2435572.75,0,0
608,31/08/2023,2802.22,2849,-46.78,2438374.97,0,0
609,01/09/2023,3582.56,3650,-67.44,2441957.53,0,0
610,02/09/2023,2887.22,2935,-47.78,2444844.75,0,0
611,03/09/2023,1777.5,1805,-27.5,2446622.25,0,0
612,04/09/2023,2148.75,2182,-33.25,2448771,0,0
613,05/09/2023,1976.03,2005,-28.97,2450747.03,0,0
614,06/09/2023,2663.09,2703,-39.91,2453410.13,0,0
615,07/09/2023,2984.06,3031,-46.94,2456394.19,0,0
616,08/09/2023,2833.66,2876,-42.34,2459227.84,0,0
617,09/09/2023,3784,3851,-67,2463011.84,0,0
618,10/09/2023,641.75,602,39.75,2463653.59,0,0
619,11/09/2023,3501.63,2893,608.63,2467155.22,0,0
620,12/09/2023,3865.34,3182,683.34,2471020.56,0,0
621,13/09/2023,3933.28,3241,692.28,2474953.84,0,0
622,14/09/2023,3753.94,3100,653.94,2478707.78,0,0
623,15/09/2023,3657.94,3021,636.94,2482365.72,0,0
624,16/09/2023,2848.5,2354,494.5,2485214.22,0,0
625,17/09/2023,2042.47,1672,370.47,2487256.69,0,0
626,18/09/2023,4164.06,3437,727.06,2491420.75,0,0
627,19/09/2023,4678.03,3864,814.03,2496098.78,0,0
628,20/09/2023,4245.09,3503,742.09,2500343.88,0,0
629,21/09/2023,3265.41,2699,566.41,2503609.28,0,0
630,22/09/2023,4516.31,3732,784.31,2508125.59,0,0
631,23/09/2023,4485.28,3697,788.28,2512610.88,0,0
632,24/09/2023,1379.56,1127,252.56,2513990.44,0,0
633,25/09/2023,3395.84,2810,585.84,2517386.28,0,0
634,26/09/2023,4046.84,3335,711.84,2521433.13,0,0
635,27/09/2023,4550.03,3748,802.03,2525983.16,0,0
636,28/09/2023,3175.28,2628,547.28,2529158.44,0,0
637,29/09/2023,3601.69,2981,620.69,2532760.13,0,0
638,30/09/2023,3228.84,2667,561.84,2535988.97,0,0
639,01/10/2023,1096.72,905,191.72,2537085.69,0,0
640,02/10/2023,1320.34,1075,245.34,2538406.03,0,0
641,03/10/2023,4500.09,3714,786.09,2542906.13,0,0
642,04/10/2023,4569.72,3783,786.72,2547475.84,0,0
643,05/10/2023,4228.88,3504,724.88,2551704.72,0,0
644,06/10/2023,3729.75,3087,642.75,2555434.47,0,0
645,07/10/2023,3038.09,2518,520.09,2558472.56,0,0
646,08/10/2023,992,817,175,2559464.56,0,0
647,09/10/2023,2319.41,1922,397.41,2561783.97,0,0
648,10/10/2023,3391.59,2807,584.59,2565175.56,0,0
649,11/10/2023,2416,2008,408,2567591.56,0,0
650,12/10/2023,3253.59,2692,561.59,2570845.16,0,0
651,13/10/2023,4797.66,3973,824.66,2575642.81,0,0
652,14/10/2023,4123.94,3412,711.94,2579766.75,0,0
653,15/10/2023,673.66,551,122.66,2580440.41,0,0
654,16/10/2023,2939.63,2428,511.63,2583380.03,0,0
655,17/10/2023,3314.59,2695.48,619.12,2586694.63,0,0
656,18/10/2023,3563.34,2892.48,670.87,2590257.97,0,0
657,19/10/2023,3659.66,2948.48,711.18,2593917.63,0,0
658,20/10/2023,3684.84,2956.48,728.37,2597602.47,0,0
659,21/10/2023,2875.88,2215.48,660.4,2600478.34,0,0
660,22/10/2023,2229.72,1606.48,623.24,2602708.06,0,0
661,23/10/2023,2087.31,1497.69,589.62,2604795.38,0,0
662,24/10/2023,2926.44,2115.69,810.75,2607721.81,0,0
663,25/10/2023,2879.25,2083.69,795.56,2610601.06,0,0
664,26/10/2023,2691.34,1947.69,743.65,2613292.41,0,0
665,27/10/2023,2624.06,1918.92,705.15,2615916.47,0,0
666,28/10/2023,2724.19,2075.11,649.08,2618640.66,0,0
667,29/10/2023,1908.75,1494.11,414.64,2620549.41,0,0
668,30/10/2023,1753.66,1332.11,421.55,2622303.06,0,0
669,31/10/2023,2165.63,1650.11,515.52,2624468.69,0,0
670,01/11/2023,2115.25,1604.11,511.14,2626583.94,0,0
671,02/11/2023,2267.72,1724.11,543.61,2628851.66,0,0
672,03/11/2023,2565.81,1952.11,613.71,2631417.47,0,0
673,04/11/2023,1975.94,1506.11,469.83,2633393.41,0,0
674,05/11/2023,926.34,708.11,218.24,2634319.75,0,0
675,06/11/2023,2114.19,1612.11,502.08,2636433.94,0,0
676,07/11/2023,2010.06,1527.11,482.96,2638444,0,0
677,08/11/2023,1997.69,1521.11,476.58,2640441.69,0,0
678,09/11/2023,1660.09,1268.11,391.99,2642101.78,0,0
679,10/11/2023,2225.13,1689.09,536.03,2644326.91,0,0
680,11/11/2023,1061.81,864,197.81,2645388.72,0,0
681,12/11/2023,825.09,671,154.09,2646213.81,0,0
682,13/11/2023,770.66,626,144.66,2646984.47,0,0
683,14/11/2023,1951.88,1620,331.88,2648936.34,0,0
684,15/11/2023,3224.19,2664,560.19,2652160.53,0,0
685,16/11/2023,2852.06,2354,498.06,2655012.59,0,0
686,17/11/2023,3640.97,3007,633.97,2658653.56,0,0
687,18/11/2023,3403.44,2808,595.44,2662057,0,0
688,19/11/2023,756.69,615,141.69,2662813.69,0,0
689,20/11/2023,3471.59,2865,606.59,2666285.28,0,0
690,21/11/2023,2568.03,2125,443.03,2668853.31,0,0
691,22/11/2023,2256.63,1869,387.63,2671109.94,0,0
692,23/11/2023,2245.88,1861,384.88,2673355.81,0,0
693,24/11/2023,2504.34,2071,433.34,2675860.16,0,0
694,25/11/2023,2086.63,1729,357.63,2677946.78,0,0
695,26/11/2023,1282.84,1041,241.84,2679229.63,0,0
696,27/11/2023,3302.38,2725,577.38,2682532,0,0
697,28/11/2023,3201.09,2647,554.09,2685733.09,0,0
698,29/11/2023,2571.94,2129,442.94,2688305.03,0,0
699,30/11/2023,2409.53,1987,422.53,2690714.56,0,0
700,01/12/2023,1812.16,1502,310.16,2692526.72,0,0
701,02/12/2023,2745.41,2270,475.41,2695272.13,0,0
702,03/12/2023,1293.31,1065,228.31,2696565.44,0,0
703,04/12/2023,1369.22,1140,229.22,2697934.66,0,0
704,05/12/2023,2879.91,2378,501.91,2700814.56,0,0
705,06/12/2023,2985.25,2459,526.25,2703799.81,0,0
706,07/12/2023,2980.03,2466,514.03,2706779.84,0,0
707,08/12/2023,2428.28,2012,416.28,2709208.13,0,0
708,09/12/2023,1925.41,1594,331.41,2711133.53,0,0
709,10/12/2023,1946.78,1594,352.78,2713080.31,0,0
710,11/12/2023,3139.53,2590,549.53,2716219.84,0,0
711,12/12/2023,3000.22,2481,519.22,2719220.06,0,0
712,13/12/2023,2923.81,2408,515.81,2722143.88,0,0
713,14/12/2023,3017.66,2492,525.66,2725161.53,0,0
714,15/12/2023,1858.75,1535,323.75,2727020.28,0,0
715,16/12/2023,2412.25,1986,426.25,2729432.53,0,0
716,17/12/2023,1562,1289,273,2730994.53,0,0
717,18/12/2023,1448.94,1200,248.94,2732443.47,0,0
718,19/12/2023,3487.28,2872,615.28,2735930.75,0,0
719,20/12/2023,2157.22,1784,373.22,2738087.97,0,0
720,21/12/2023,2501.88,2066,435.88,2740589.84,0,0
721,22/12/2023,3359.44,2769,590.44,2743949.28,0,0
722,23/12/2023,3599.22,2959,640.22,2747548.5,0,0
723,24/12/2023,1904,1548,356,2749452.5,0,0
724,25/12/2023,171.31,141,30.31,2749623.81,0,0
725,26/12/2023,4093.69,3352,741.69,2753717.5,0,0
726,27/12/2023,4157.47,3422,735.47,2757874.97,0,0
727,28/12/2023,2580.53,2130,450.53,2760455.5,0,0
728,29/12/2023,2291.66,1893,398.66,2762747.16,0,0
729,30/12/2023,3630.31,2995,635.31,2766377.47,0,0
730,31/12/2023,1339.28,1086,253.28,2767716.75,0,0
731,01/01/2024,3724,3067,657,2771440.75,0,0
732,02/01/2024,2890.97,2390,500.97,2774331.72,0,0
733,03/01/2024,2310.16,1914,396.16,2776641.88,0,0
734,04/01/2024,2154.91,1787,367.91,2778796.78,0,0
735,05/01/2024,2402.59,1989,413.59,2781199.38,0,0
736,06/01/2024,3217.94,2652,565.94,2784417.31,0,0
737,07/01/2024,1881.5,1540,341.5,2786298.81,0,0
738,08/01/2024,1103.31,915,188.31,2787402.13,0,0
739,09/01/2024,2152.81,1765,387.81,2789554.94,0,0
740,10/01/2024,2593.28,2140,453.28,2792148.22,0,0
741,11/01/2024,3862.13,3166,696.13,2796010.34,0,0
742,12/01/2024,3909.38,3216,693.38,2799919.72,0,0
743,13/01/2024,2833.06,2323,510.06,2802752.78,0,0
744,14/01/2024,638.22,527,111.22,2803391,0,0
745,15/01/2024,975.78,976.07,-0.29,2804366.78,0,0
746,16/01/2024,0.22,16.06,-15.85,2804367,0,0
747,17/01/2024,2123.78,2162.24,-38.46,2806490.78,0,0
748,18/01/2024,2153,2201.65,-48.65,2808643.78,0,0
749,19/01/2024,3126.44,2697.97,428.46,2811770.22,0,0
750,20/01/2024,3555.53,2927,628.53,2815325.75,0,0
751,21/01/2024,1113.72,895,218.72,2816439.47,0,0
752,22/01/2024,3624.47,2977,647.47,2820063.94,0,0
753,23/01/2024,2582.81,2129,453.81,2822646.75,0,0
754,24/01/2024,2502.34,2180,322.34,2825149.09,0,0
755,25/01/2024,3357.31,2764,593.31,2828506.41,0,0
756,26/01/2024,2022.53,1656,366.53,2830528.94,0,0
757,27/01/2024,3429.19,2815,614.19,2833958.13,0,0
758,28/01/2024,1975.72,1626,349.72,2835933.84,0,0
759,29/01/2024,4023.72,3339,684.72,2839957.56,0,0
760,30/01/2024,4042.69,3333,709.69,2844000.25,0,0
761,31/01/2024,3817.22,3163,654.22,2847817.47,0,0
762,01/02/2024,3795.91,3121,674.91,2851613.38,0,0
763,02/02/2024,2303.78,1904,399.78,2853917.16,0,0
764,03/02/2024,3561.53,2961,600.53,2857478.69,0,0
765,04/02/2024,1800.69,1463,337.69,2859279.38,0,0
766,05/02/2024,4044.38,3331,713.38,2863323.75,0,0
767,06/02/2024,4027.59,3316,711.59,2867351.34,0,0
768,07/02/2024,4148.09,3421,727.09,2871499.44,0,0
769,08/02/2024,3993.81,3317,676.81,2875493.25,0,0
770,09/02/2024,4157.22,3450,707.22,2879650.47,0,0
771,10/02/2024,4015.69,3318,697.69,2883666.16,0,0
772,11/02/2024,1723.94,1387,336.94,2885390.09,0,0
773,12/02/2024,4695.06,3857,838.06,2890085.16,0,0
774,13/02/2024,4534.16,3726,808.16,2894619.31,0,0
775,14/02/2024,4239.72,3505,734.72,2898859.03,0,0
776,15/02/2024,4398.16,3618,780.16,2903257.19,0,0
777,16/02/2024,4345.63,3572,773.63,2907602.81,0,0
778,17/02/2024,4246.13,3440,806.13,2911848.94,0,0
779,18/02/2024,1260.38,1020,240.38,2913109.31,0,0
780,19/02/2024,4138.28,3411,727.28,2917247.59,0,0
781,20/02/2024,4380.53,3625,755.53,2921628.13,0,0
782,21/02/2024,3445.31,2853,592.31,2925073.44,0,0
783,22/02/2024,3770,3112,658,2928843.44,0,0
784,23/02/2024,4060.41,3361,699.41,2932903.84,0,0
785,24/02/2024,3378.72,2798,580.72,2936282.56,0,0
786,25/02/2024,1968.63,1613,355.63,2938251.19,0,0
787,26/02/2024,3423,3480,-57,2941674.19,0,0
788,27/02/2024,3449.5,3511,-61.5,2945123.69,0,0
789,28/02/2024,3710,3780,-70,2948833.69,0,0
790,29/02/2024,3794,3863,-69,2952627.69,0,0
791,01/03/2024,3726.25,3793,-66.75,2956353.94,0,0
792,02/03/2024,3356,3416,-60,2959709.94,0,0
793,03/03/2024,1280.25,1299,-18.75,2960990.19,0,0
794,04/03/2024,3615,3683,-68,2964605.19,0,0
795,05/03/2024,3712.5,3784,-71.5,2968317.69,0,0
796,06/03/2024,3381.75,3447,-65.25,2971699.44,0,0
797,07/03/2024,3608.75,3677,-68.25,2975308.19,0,0
798,08/03/2024,2956.5,3013,-56.5,2978264.69,0,0
799,09/03/2024,3192.75,3251,-58.25,2981457.44,0,0
800,10/03/2024,1689.75,1719,-29.25,2983147.19,0,0
801,11/03/2024,3574.75,3641,-66.25,2986721.94,0,0
802,12/03/2024,3670.75,3737,-66.25,2990392.69,0,0
803,13/03/2024,3330,3393,-63,2993722.69,0,0
804,14/03/2024,2462.25,2510.17,-47.92,2996184.94,0,0
805,15/03/2024,3052,3102.83,-50.83,2999236.94,0,0
806,16/03/2024,3534.75,3599,-64.25,3002771.69,0,0
807,17/03/2024,3437.75,3500,-62.25,3006209.44,0,0
808,18/03/2024,3678.75,3747,-68.25,3009888.19,0,0
809,19/03/2024,3681.25,3750,-68.75,3013569.44,0,0
810,20/03/2024,3552.75,3618,-65.25,3017122.19,0,0
811,21/03/2024,3786,3856,-70,3020908.19,0,0
812,22/03/2024,3133.75,3192,-58.25,3024041.94,0,0
813,23/03/2024,3500,3567,-67,3027541.94,0,0
814,24/03/2024,3786.25,3853,-66.75,3031328.19,0,0
815,25/03/2024,3732.25,3801,-68.75,3035060.44,0,0
816,26/03/2024,3874.75,3946,-71.25,3038935.19,0,0
817,27/03/2024,4026.75,4103,-76.25,3042961.94,0,0
818,28/03/2024,3949.5,4027,-77.5,3046911.44,0,0
819,29/03/2024,3780.25,3852,-71.75,3050691.69,0,0
820,30/03/2024,3888,3961,-73,3054579.69,0,0
821,31/03/2024,3917.5,3996,-78.5,3058497.19,0,0
822,01/04/2024,3548.25,3616,-67.75,3062045.44,0,0
823,02/04/2024,3821.25,3894,-72.75,3065866.69,0,0
824,03/04/2024,3774,3845,-71,3069640.69,0,0
825,04/04/2024,3991.5,4068,-76.5,3073632.19,0,0
826,05/04/2024,3747,3823,-76,3077379.19,0,0
827,06/04/2024,3598.25,3668,-69.75,3080977.44,0,0
828,07/04/2024,3875,3947,-72,3084852.44,0,0
829,08/04/2024,4110.5,4192,-81.5,3088962.94,0,0
830,09/04/2024,4036,4112,-76,3092998.94,0,0
831,10/04/2024,4007.5,4084,-76.5,3097006.44,0,0
832,11/04/2024,4018.25,4095,-76.75,3101024.69,0,0
833,12/04/2024,3416.5,3478,-61.5,3104441.19,0,0
834,13/04/2024,3761.25,3833,-71.75,3108202.44,0,0
835,14/04/2024,3736.5,3805,-68.5,3111938.94,0,0
836,15/04/2024,4040.25,4116,-75.75,3115979.19,0,0
837,16/04/2024,4015.5,4093,-77.5,3119994.69,0,0
838,17/04/2024,3491,3555,-64,3123485.69,0,0
839,18/04/2024,3157.25,3215,-57.75,3126642.94,0,0
840,19/04/2024,3078.25,3135,-56.75,3129721.19,0,0
841,20/04/2024,2974.5,3022,-47.5,3132695.69,0,0
842,21/04/2024,2415,2458,-43,3135110.69,0,0
843,22/04/2024,3846.75,3925,-78.25,3138957.44,0,0
844,23/04/2024,4040.25,4118,-77.75,3142997.69,0,0
845,24/04/2024,3912.25,3986,-73.75,3146909.94,0,0
846,25/04/2024,3688.5,3760,-71.5,3150598.44,0,0
847,26/04/2024,3885.5,3957,-71.5,3154483.94,0,0
848,27/04/2024,4027.5,4106,-78.5,3158511.44,0,0
849,28/04/2024,4003.5,4080,-76.5,3162514.94,0,0
850,29/04/2024,3919.5,3996,-76.5,3166434.44,0,0
851,30/04/2024,3900.25,3975,-74.75,3170334.69,0,0
852,01/05/2024,3353.5,3414,-60.5,3173688.19,0,0
853,02/05/2024,3027.75,3084,-56.25,3176715.94,0,0
854,03/05/2024,2156,2198,-42,3178871.94,0,0
855,04/05/2024,3619.5,3686,-66.5,3182491.44,0,0
856,05/05/2024,717,725,-8,3183208.44,0,0
857,06/05/2024,3425.5,3489,-63.5,3186633.94,0,0
858,07/05/2024,3779,3849,-70,3190412.94,0,0
859,08/05/2024,3572,3641,-69,3193984.94,0,0
860,09/05/2024,2819.5,2867,-47.5,3196804.44,0,0
861,10/05/2024,2863,2916,-53,3199667.44,0,0
862,11/05/2024,2932,2986,-54,3202599.44,0,0
863,12/05/2024,2163.25,2201,-37.75,3204762.69,0,0
864,13/05/2024,3355.75,3416,-60.25,3208118.44,0,0
865,14/05/2024,2981.75,3035,-53.25,3211100.19,0,0
866,15/05/2024,3094.75,3149,-54.25,3214194.94,0,0
867,16/05/2024,2231.5,2270,-38.5,3216426.44,0,0
868,17/05/2024,1239.75,1262,-22.25,3217666.19,0,0
869,18/05/2024,2730,2778,-48,3220396.19,0,0
870,19/05/2024,1622.5,1651,-28.5,3222018.69,0,0
871,20/05/2024,2353,2394,-41,3224371.69,0,0
872,21/05/2024,2098.5,2133,-34.5,3226470.19,0,0
873,22/05/2024,3479,3540,-61,3229949.19,0,0
874,23/05/2024,3382.25,3445,-62.75,3233331.44,0,0
875,24/05/2024,2579.25,2625,-45.75,3235910.69,0,0
876,25/05/2024,2122,2152,-30,3238032.69,0,0
877,26/05/2024,2815.25,2862,-46.75,3240847.94,0,0
878,27/05/2024,3464.5,3522,-57.5,3244312.44,0,0
879,28/05/2024,3152.5,3203,-50.5,3247464.94,0,0
880,29/05/2024,3373.5,3431,-57.5,3250838.44,0,0
881,30/05/2024,3533,3591,-58,3254371.44,0,0
882,31/05/2024,3539.25,3605,-65.75,3257910.69,0,0
883,01/06/2024,2691.75,2741,-49.25,3260602.44,0,0
884,02/06/2024,3525.75,3591,-65.25,3264128.19,0,0
885,03/06/2024,2991.25,3045,-53.75,3267119.44,0,0
886,04/06/2024,3356.75,3412,-55.25,3270476.19,0,0
887,05/06/2024,2680.75,2728,-47.25,3273156.94,0,0
888,06/06/2024,2888.25,2933,-44.75,3276045.19,0,0
889,07/06/2024,2589.25,2639,-49.75,3278634.44,0,0
890,08/06/2024,3499.25,3555,-55.75,3282133.69,0,0
891,09/06/2024,3281.25,3334,-52.75,3285414.94,0,0
892,10/06/2024,3495.25,3553,-57.75,3288910.19,0,0
893,11/06/2024,2851,2896,-45,3291761.19,0,0
894,12/06/2024,2709.5,2754,-44.5,3294470.69,0,0
895,13/06/2024,3762.5,3826,-63.5,3298233.19,0,0
896,14/06/2024,3227.75,3276,-48.25,3301460.94,0,0
897,15/06/2024,3761.25,3827,-65.75,3305222.19,0,0
898,16/06/2024,816.75,832,-15.25,3306038.94,0,0
899,17/06/2024,3527.75,3591,-63.25,3309566.69,0,0
900,18/06/2024,2677.25,2723,-45.75,3312243.94,0,0
901,19/06/2024,2684.75,2732,-47.25,3314928.69,0,0
902,20/06/2024,3113.25,3165,-51.75,3318041.94,0,0
903,21/06/2024,3233.75,3288,-54.25,3321275.69,0,0
904,22/06/2024,2924.25,2970,-45.75,3324199.94,0,0
905,23/06/2024,2910,2957,-47,3327109.94,0,0
906,24/06/2024,3038.75,3090,-51.25,3330148.69,0,0
907,25/06/2024,2708,2751,-43,3332856.69,0,0
908,26/06/2024,2293.5,2327,-33.5,3335150.19,0,0
909,27/06/2024,1405.75,1427,-21.25,3336555.94,0,0
910,28/06/2024,3216.5,3273,-56.5,3339772.44,0,0
911,29/06/2024,2687.25,2732,-44.75,3342459.69,0,0
912,30/06/2024,2420.25,2456,-35.75,3344879.94,0,0
913,01/07/2024,2082.75,2115,-32.25,3346962.69,0,0
914,02/07/2024,2408.5,2449,-40.5,3349371.19,0,0
915,03/07/2024,2780.5,2825,-44.5,3352151.69,0,0
916,04/07/2024,2234,2270,-36,3354385.69,0,0
917,05/07/2024,2852,2897,-45,3357237.69,0,0
918,06/07/2024,2228.75,2264,-35.25,3359466.44,0,0
919,07/07/2024,2827,2872,-45,3362293.44,0,0
920,08/07/2024,2563.5,2605,-41.5,3364856.94,0,0
921,09/07/2024,2378,2413,-35,3367234.94,0,0
922,10/07/2024,3543.5,3607,-63.5,3370778.44,0,0
923,11/07/2024,3524.5,3587,-62.5,3374302.94,0,0
924,12/07/2024,3321.5,3380,-58.5,3377624.44,0,0
925,13/07/2024,1803,1833,-30,3379427.44,0,0
926,14/07/2024,1659.75,1686,-26.25,3381087.19,0,0
927,15/07/2024,1264.5,1287,-22.5,3382351.69,0,0
928,16/07/2024,1908.25,1940,-31.75,3384259.94,0,0
929,17/07/2024,2310,2347,-37,3386569.94,0,0
930,18/07/2024,1561.5,1585,-23.5,3388131.44,0,0
931,19/07/2024,1473,1498,-25,3389604.44,0,0
932,20/07/2024,2282.75,2319,-36.25,3391887.19,0,0
933,21/07/2024,1751,1782,-31,3393638.19,0,0
934,22/07/2024,2488.25,2529,-40.75,3396126.44,0,0
935,23/07/2024,2250.75,2289,-38.25,3398377.19,0,0
936,24/07/2024,1977.5,2008,-30.5,3400354.69,0,0
937,25/07/2024,2062.5,2097,-34.5,3402417.19,0,0
938,26/07/2024,1479.25,1504,-24.75,3403896.44,0,0
939,27/07/2024,2290,2327,-37,3406186.44,0,0
940,28/07/2024,2142,2180,-38,3408328.44,0,0
941,29/07/2024,2115.75,2148,-32.25,3410444.19,0,0
942,30/07/2024,2209,2247,-38,3412653.19,0,0
943,31/07/2024,2397.75,2439,-41.25,3415050.94,0,0
944,01/08/2024,2977.25,3030,-52.75,3418028.19,0,0
945,02/08/2024,2212.75,2250,-37.25,3420240.94,0,0
946,03/08/2024,2902.5,2952,-49.5,3423143.44,0,0
947,04/08/2024,3036.25,3089,-52.75,3426179.69,0,0
948,05/08/2024,2521.75,2567,-45.25,3428701.44,0,0
949,06/08/2024,2367.75,2409,-41.25,3431069.19,0,0
950,07/08/2024,2416.75,2457,-40.25,3433485.94,0,0
951,08/08/2024,2431.5,2473,-41.5,3435917.44,0,0
952,09/08/2024,3166.75,3225,-58.25,3439084.19,0,0
953,10/08/2024,3267.75,3327,-59.25,3442351.94,0,0
954,11/08/2024,3044.5,3098,-53.5,3445396.44,0,0
955,12/08/2024,2933.5,2989,-55.5,3448329.94,0,0
956,13/08/2024,2857,2906,-49,3451186.94,0,0
957,14/08/2024,3445.25,3512,-66.75,3454632.19,0,0
958,15/08/2024,3200,3261,-61,3457832.19,0,0
959,16/08/2024,2546.5,2592,-45.5,3460378.69,0,0
960,17/08/2024,2885.75,2939,-53.25,3463264.44,0,0
961,18/08/2024,2829.25,2885,-55.75,3466093.69,0,0
962,19/08/2024,3128.25,3188,-59.75,3469221.94,0,0
963,20/08/2024,3175,3236,-61,3472396.94,0,0
964,21/08/2024,2989.75,3043,-53.25,3475386.69,0,0
965,22/08/2024,3588.75,3653,-64.25,3478975.44,0,0
966,23/08/2024,3629.75,3696,-66.25,3482605.19,0,0
967,24/08/2024,3342,3401,-59,3485947.19,0,0
968,25/08/2024,3058.5,3108,-49.5,3489005.69,0,0
969,26/08/2024,2605.25,2650,-44.75,3491610.94,0,0
970,27/08/2024,2667,2713,-46,3494277.94,0,0
971,28/08/2024,2121.5,2158,-36.5,3496399.44,0,0
972,29/08/2024,2105.75,2141,-35.25,3498505.19,0,0
973,30/08/2024,2492.5,2536,-43.5,3500997.69,0,0
